Направление подготовки: Лечебное дело,,,,,,,
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
ЛЕЧЕБНОЕ ДЕЛО (БЮДЖЕТ) (Специалитет) Мест: 19,,,,,,,
Конкурсная группа: ОСНОВНЫЕ МЕСТА,,,,,,,
1,3867113,-,БВИ,10,,1,Согласие
2,4235271,-,БВИ,10,,1,Согласие
3,4237110,-,БВИ,10,,1,Согласие
4,3652269,302,"Биология - 95
Химия - 100 Русский язык - 97",10,Пр.право,2,Нет
5,3630713,302,"Биология - 95
Химия - 100 Русский язык - 97",10,,3,Согласие
6,4023406,302,"Биология - 93
Химия - 99 Русский язык - 100",10,,1,Нет
7,4165782,300,"Биология - 96
Химия - 100 Русский язык - 94",10,,3,Нет
8,3988751,299,"Биология - 100
Химия - 100 Русский язык - 89",10,,1,Нет
9,4138885,299,"Биология - 98
Химия - 100 Русский язык - 91",10,,1,Согласие
10,3612739,297,"Биология - 100
Химия - 95 Русский язык - 97",5,,1,Нет
11,3915499,297,"Биология - 96
Химия - 100 Русский язык - 91",10,Пр.право,2,Нет
12,3854465,296,"Биология - 95
Химия - 100 Русский язык - 91",10,,1,Нет
13,3917167,296,"Биология - 90
Химия - 99 Русский язык - 97",10,,1,Согласие
14,3784171,295,"Биология - 100
Химия - 99 Русский язык - 86",10,,1,Нет
15,3829747,294,"Биология - 100
Химия - 95 Русский язык - 89",10,,1,Нет
16,3938033,294,"Биология - 98
Химия - 100 Русский язык - 91",5,,1,Нет
17,3728174,294,"Биология - 95
Химия - 100 Русский язык - 94",5,,1,Нет
18,4206537,294,"Биология - 90
Химия - 99 Русский язык - 100",5,,1,Нет
№,Код,Балл,ВИ,ИД,ПП,Приоритет,Согласие
19,4101638,293,"Биология - 95
Химия - 99 Русский язык - 89",10,,1,Нет
20,3957742,293,"Биология - 95
Химия - 99 Русский язык - 89",10,,1,Нет
21,4049683,293,"Биология - 95
Химия - 99 Русский язык - 89",10,,1,Согласие
22,3856126,293,"Биология - 88
Химия - 100 Русский язык - 97",8,,1,Нет
